Index,LinkedIn Url,Company Name,Company work status,Number of followers,Number of employees,About section,Frequency of the latest post,Number of reactions got for latest post,Number of comments got for latest post,Frequency of the second latest post,Number of reactions got for second latest post,Number of comments got for second latest post
1185,https://linkedin.com/company/ckmobi/,Ckmobile,Major focus on JavaScript tutorials for beginners and also different JavaScript framework tutorials.,567 followers,,"Complete Progress Web App BootCamp

          https://www.udemy.com/course/complete-progressive-web-app-bootcamp/?referralCode=E
...
see more

 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
2116,https://linkedin.com/company/learnsector,Learnsector,Designing an Experience,111 followers,4 employees,"We are a team of young folks starting up to work our way towards disrupting the world of Content

          leveraging Artificial Intelligence.
 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
807,https://linkedin.com/https://www.linkedin.com/company/5197686?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A5197686%2Cidx%3A2-1-6%2C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
975,https://linkedin.com/company/start-tech-academy,Start-Tech Academy,"Technology-based Analytics Education Company with over 1,000,000 students from 170+ countries.","2,837 followers",35 employees,"Start-Tech Academy is a technology-based Analytics Education Company and aims at Bringing Together
the analytics companies and interested Learners. Our top quality training content along with internships

          and project opportunities helps students in launching their Analytics journey.   Founded by A
...
see more

 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
10,https://linkedin.com/company/starweaver,Starweaver,Live streaming platform for fintech education | Supercharging education for serious organizations and instructors.,"1,338 followers",23 employees,"Starweaver functions as a technology-enabled educational content factory creating top quality training
and education for organizations: perfectly, each and every time. We provide educational analytics,

          sourcing, production, management, and distribution through a suite of products and service
...
see more

 ... see more","1yr • 

 1yr •",25,4 comments,"2mo • Edited • 

 2mo • Edited •",19,3 comments
320,https://linkedin.com/company/visual-deck,Visual Deck,Customized Animated Videos On-Demand,36 followers,3 employees,,N/A,N/A,N/A,N/A,N/A,N/A
2340,https://linkedin.com/company/oddinstitute,The Odd Institute,iOS / Android apps & games training,48 followers,,"The Odd Institute | How to Make an App strives on delivering the best of learning in three distinct new
media disciplines:      iOS Mobile App Development     Android Mobile App Development     Cross

          Platform Mobile Games Development  Our goal at The Odd Institute is to simplify difficult co
...
see more

 ... see more","4mo • 

 4mo •",,,"6mo • 

 6mo •",3,
912,https://linkedin.com/company/gamedev-tv/,GameDev.tv,"Helping 700k+ people start their Game Dev journey. Learn to code video games in C#, C++, Unity, Blender, Unreal & more","4,430 followers",18 employees,"GameDev.tv an online game development school that is dedicated to teaching you how to code indie
video games via course instruction in C++, C#, Unreal, Unity, Blender.   Get 90% off your first course

          using code: LINKEDIN at https://www.GameDev.tv  Learn to make RPG's, inventory, characte
...
see more

 ... see more","1h • 

 1h •",2,1 comment,"20h • 

 20h •",,
1533,https://linkedin.com/company/coursovie/,Coursovie,Enabling the creators of tomorrow,691 followers,,,N/A,N/A,N/A,N/A,N/A,N/A
2034,https://linkedin.com/company/jpdocuservices,JPDocu Services Ltd,"Learning technical writing is easy - after all, it's just plain docu!",183 followers,1 employee,"JPDocu School of Technical Writing is a training company that is passionate about user assistance,
technical communications and making it positive user experience. Our e-learning courses help us shape

          the next generation of technical writers and information developers, by providing them with 
...
see more

 ... see more","4mo • Edited • 

 4mo • Edited •",8,1 comment,JPDocu Services Ltd reposted this,49,10 comments
1457,https://linkedin.com/company/shortlisted-productions/,Shortlisted Productions,Educational programme on Climate Change Challenges and Solutions https://bit.ly/ClimateChangeTrainingCourses,376 followers,1 employee,"Shortlisted Productions is a video and online training courses production company based in London. 
Our mission is to support the growing needs of our clients for online educational content and social

          video marketing.  We have produced a number of training courses for corporate clients, and 
...
see more

 ... see more","1w • 

 1w •",,,"1w • 

 1w •",,
776,https://linkedin.com/company/macs-finance?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7,Macs Finance,,19 followers,1 employee,,N/A,N/A,N/A,N/A,N/A,N/A
1112,https://linkedin.com/company/35581772,Holistic3D,"Penny takes you through game design, programming, and art, using her holistic teaching approach.","1,405 followers",3 employees,"Holistic3D is an online Games Development education provider with over 25 years experience

          developing and delivering curriculum.
 ... see more","5d • 

 5d •",1,,"6d • 

 6d •",1,
1936,https://linkedin.com/company/i-do-data,I Do Data,IT training company providing accessible online education in data analysis software and Office productivity apps.,525 followers,2 employees,"I Do Data... and so can you!  I Do Data is committed to delivering accessible online training in data
analysis software and Microsoft Office applications across the world. We support a range of industries

          to prioritise and develop staff skills, and to apply business data for targeted strategic growth.
 ... see more","8h • 

 8h •",1,,"1d • 

 1d •",1,
1146,https://linkedin.com/company/uninetprof/,UNP - United Network of Professionals,Project-based effective learning platform!,"1,116 followers",23 employees,"We  are a team of working professionals from around the globe ,about 30 strong, coming from various
spheres of the Data Science Universe,each bringing in a unique set of skills which we have acquired

          through years of experience in almost every domain of Business.The Professionals in UNP ar
...
see more

 ... see more","4d • Edited • 

 4d • Edited •",12,2 comments,"2h • 

 2h •",5,
133,https://linkedin.com/company/3d-buzz-inc?trk=biz-companies-cym,3D BUZZ INC,,69 followers,2 employees,,N/A,N/A,N/A,N/A,N/A,N/A
2554,https://linkedin.com/company/techlightning,TechLightning,Learn Something New Today!,"6,348 followers",,"Knowledge, Well Presented Over 100+ Presentations, Videos from MuleSoft, SoftwareAG webMethods
and APIGEE.   Tech lightning is moderated by Arul ChristhuRaj Alphonse who is Senior Integration

          Architect. This Page has all the technical content recorded by Arul ChristhuRaj Alphonse.  Le
...
see more

 ... see more","4h • Edited • 

 4h • Edited •",3,1 comment,"6d • 

 6d •",3,
979,https://linkedin.com/company/itversity,"ITVersity, Inc.","making IT resourceful
(𝗗𝗮𝘁𝗮 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝗶𝗻𝗴 𝗟𝗔𝗕𝗦)","8,698 followers",26 employees,"A free one stop shop to learn all tips and techniques about all technologies catering wide array of IT
professionals or aspirants. At this time focused on 𝘿𝙖𝙩𝙖 𝙀𝙣𝙜𝙞𝙣𝙚𝙚𝙧𝙞𝙣𝙜.  Our Offering: * Training Services *

          Engineering Services * Managed Services * Staffing Services  Our Corporate Training Offeri
...
see more

 ... see more","3mo • 

 3mo •",2,,"1d • 

 1d •",2,
2014,https://linkedin.com/https://www.linkedin.com/company/excelr-solutions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1507,https://linkedin.com/company/65693408/,IA Expert Academy,Faça parte do time IA Expert e aprenda o que existe de melhor na inteligência artificial.,"4,019 followers",4 employees,"O portal IA Expert Academy tem o objetivo de trazer conteúdo sobre Inteligência Artificial, ou seja:
artigos práticos e teóricos, tutoriais em vídeo passo a passo e notícias!   Além disso, outro propósito do

          IA Expert Academy é publicar material de fácil entendimento para que profissionais de todas
...
see more

 ... see more","1d • 

 1d •",2,,"6d • 

 6d •",4,
1198,https://linkedin.com/company/pixelhelmet,Pixel Helmet,"Together with the community, we will create the best gaming experience.",81 followers,1 employee,"Pixel Helmet is a video game developing and publishing company based in Dubai, United Arab Emirates.
The main focus is to create enjoyable games with high quality. We believe that this is best achieved

          through passion in everything we create. Pixel Helmet has released Farmtale, an adventurou
...
see more

 ... see more","4mo • 

 4mo •",2,,"5mo • 

 5mo •",1,
346,https://linkedin.com/company/corporate-finance-institute-cfi-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2405,https://linkedin.com/company/techschoolguru/,TECH SCHOOL,"Give everyone a chance to learn IT with free, high-quality tutorials and courses.",363 followers,3 employees,"At Tech School, we believe that everyone deserves a good and free education. We create high quality

          courses and tutorials in Information Technology. New videos are uploaded every week.
 ... see more","1w • 

 1w •",4,,"2w • 

 2w •",2,
1686,https://linkedin.com/company/three-millennials,Three Millennials,"At Three Millennials, We share a belief that Sharing Knowledge is the best way to Increase Knowledge.",24 followers,3 employees,,N/A,N/A,N/A,N/A,N/A,N/A
1381,https://linkedin.com/company/indiantechwarrior,Indian Tech Warrior,Best Tech Articles on Machine Learning & Computer Vision,15 followers,,,N/A,N/A,N/A,N/A,N/A,N/A
740,https://linkedin.com/https://www.linkedin.com/company/i3zif-com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,https://linkedin.com/company/albertacademie,Albert Académie,Les meilleurs experts.,301 followers,11 employees,"Découvrez la puissance de la formation en e-learning avec Albert Académie.  Laissez-vous emporter par
une expérience d'apprentissage où les meilleurs experts sont à portée de main, à tout moment.  Chez

          Albert Académie, nous croyons que la clé du succès réside dans votre montée en compéten
...
see more

 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
2644,https://linkedin.com/company/3991875/admin/,A2IT Online,Design Your Success,"2,021 followers",63 employees,"A2IT Online is one of the most reputed Groups of Technical Education & Software Development in
Chandigarh INDIA.  We are a software development company with strong skills in:  - Web development  -

          Mobile development (iOS and Android)  - Desktop applications development (Windows and 
...
see more

 ... see more","1mo • 

 1mo •",4,,"5mo • 

 5mo •",4,1 comment
353,https://linkedin.com/https://www.linkedin.com/company/cleartaxindia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1551,https://linkedin.com/company/evlabs,Escape Velocity Labs,"Hands-on, comprehensive, data science courses",140 followers,1 employee,"          Hands-on, comprehensive, data science courses.
 ... see more","5mo • 

 5mo •",4,2 comments,"1mo • 

 1mo •",3,
1406,https://linkedin.com/https://in.linkedin.com/company/vlsi-system-design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
922,https://linkedin.com/company/maven-analytics,Maven Analytics,Empowering everyday people to change the world with data,"135,411 followers",52 employees,"Maven Analytics is the first purpose-built, online platform for data analysts to learn new skills, showcase
their work, and connect with peers and employers.  Named one of the top 10 education companies

          revolutionizing the industry, Maven's award-winning Guided Learning model allows users to 
...
see more

 ... see more","2h • 

 2h •",6,,"6h • 

 6h •",16,2 comments
1765,https://linkedin.com/company/e-smartdata/,e-smartdata.org,Smart people create smart world!,298 followers,3 employees,"Kursy na platformie Udemy | Python | SQL | Uczenie Maszynowe | Uczenie Głębokie | Data Science | AI |

          Cloud Technologies | Big Data
 ... see more","1w • 

 1w •",2,,"3h • 

 3h •",,
381,https://linkedin.com/company/quant-trading,QUANT TRADING,We teach about trading and investments.,538 followers,12 employees,"Quant-Trading is an educational website focused on quantitative finance. Our expertise are derivatives
and algorithmic trading.   Take a look at our courses:   Algo Trading ->

          https://www.udemy.com/course/basic-algorithmic-trading/?referralCode=55572040548179
...
see more

 ... see more","19h • 

 19h •",,1 comment,"1w • 

 1w •",4,1 comment
1108,https://linkedin.com//company/data-is-good,Dataisgood,Your Dream Our Passion,"30,785 followers",161 employees,"Dataisgood is a bootstrapped, ""indie"" tech education company. It’s our vision to Unlock human potential
by transforming education and make it accessible and affordable to all.  We are fiercely independent and

          proud with a sole focus to make the world-class tech education a level playing field for anyo
...
see more

 ... see more","5h • 

 5h •",2,1 comment,"11h • 

 11h •",2,
1039,https://linkedin.com/company/tutorialseu,TutorialsEU,TUTORIALS.EU is an online learning academy providing online courses to all students/professionals/ employees,"1,860 followers",5 employees,"We offer a range of courses in programming and can offer blended learning opportunities to best meet

          your needs. Learn anytime & learn anywhere with our courses tailored for the engineers of tomorrow.
 ... see more","1mo • 

 1mo •",2,,"4mo • Edited • 

 4mo • Edited •",18,2 comments
1383,https://linkedin.com/company/enterprisednaofficial/,Enterprise DNA,Unlock Your Potential With Real-World Data Skills Training,"25,108 followers",28 employees,"At Enterprise DNA, we're committed to providing top-notch data + AI skills training that's customized to
your needs. Our expert team will help you learn faster and collaborate more effectively through

          personalized training pathways and interactive tools.  Over the past 7 years, we have equipp
...
see more

 ... see more","1w • 

 1w •",2,,,,
985,https://linkedin.com/company/it-up-we-ramp-you-up/,ITUp - We Ramp You Up,The #1 OutSystems Global Training Partner,"3,592 followers",36 employees,"ITUp is the leader in training specialized in the OutSystems Platform, delivering academies with a focus
on reskilling and upskilling. Having certified over four thousand OutSystems Professionals worldwide

          since 2015, ITUp is the #1 OutSystems Global Training Partner. The unique know-how and re
...
see more

 ... see more",ITUp - We Ramp You Up reposted this,19,,"1w • 

 1w •",4,1 comment
1493,https://linkedin.com/company/sfdcfacts,SFDCFacts Academy,The ultimate resource to learn Salesforce and prepare for coding interviews.,"1,693 followers",3 employees,,N/A,N/A,N/A,N/A,N/A,N/A
174,https://linkedin.com/company/3707654?trk=ppro_cprof,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1489,https://linkedin.com/company/releaseworks,Releaseworks,We supercharge DevOps.,"1,121 followers",12 employees,"Releaseworks is the trusted DevOps and cloud engineering partner for the world’s leading software

          engineering teams. Our expertise is accelerating modern cloud-native software delivery.
 ... see more","1d • 

 1d •",1,,"2d • 

 2d •",3,
2027,https://linkedin.com/company/selfcodeacademy,Selfcode Academy,Transforming Students into Coding Rockstars: Join the Ultimate LinkedIn Learning Experience!,709 followers,4 employees,"Empowering students to unleash their coding potential and become job-ready. We provide a
comprehensive learning path for coding enthusiasts and assist them in various ways to ensure their

          success. Join us to explore, learn and unlock your coding future!
 ... see more","4mo • 

 4mo •",1,1 comment,"5mo • 

 5mo •",2,
635,https://linkedin.com/company/studyeasyorg,StudyEasyOrg,,93 followers,2 employees,,N/A,N/A,N/A,N/A,N/A,N/A
19,https://linkedin.com/company/tbae-team-building-and-events,TBAE Team Building and Events,TBAE is an events and team building company offering our services virtually and in  South Africa USA and the UK.,"1,122 followers",3 employees,"TBAE is a completely mobile team building facilitation company and we offer events, experiences,
activations and team building in South Africa (Johannesburg, Cape Town, Pretoria and Durban) USA and

          the UK. We are able to facilitate our mobile team building themes at any suitable venue (prov
...
see more

 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
493,https://linkedin.com/company/zenva/,Zenva,Helping over 1 million learners succeed in their coding careers and hobbies,"1,472 followers",10 employees,"Trusted by over 1 million learners and developers, Zenva provides world-class training in programming
and computer science. Our mission is to help people succeed in their coding careers and hobbies.  

          Featuring 250+ courses and guided curriculums, with Zenva you’ll quickly be publishing you
...
see more

 ... see more","8h • 

 8h •",,,"19h • 

 19h •",1,
2206,https://linkedin.com/company/edoreal-learning-solutions-pvt-ltd,Edoreal,The Learning Community,127 followers,3 employees,,N/A,N/A,N/A,N/A,N/A,N/A
1527,https://linkedin.com/company/h2kinfosys,H2Kinfosys,"Skill Development university, Learn new tech every day at H2k Infosys World class marketplace for IT Trainers, Students.","1,212 followers",80 employees,"H2Kinfosys was founded in 2007 based in Johns Creek, GA with worldwide branches. Today, H2Kinfosys
is a global leader in the Software Courses Training (Online & Onsite) and IT Services.  H2Kinfosys ranked

          among the most innovative training providers by people reviews, leading software testing co
...
see more

 ... see more","5h • 

 5h •",,,"5h • 

 5h •",,
230,https://linkedin.com/company/yesimadesigner/,Yes I'm a Designer,"Our mission is to educate, inspire and help others to become professional and successful designers.","1,498 followers",11 employees,,N/A,N/A,N/A,N/A,N/A,N/A
1226,https://linkedin.com/company/rahsoft,Rahsoft,,935 followers,5 employees,"WHO WE ARE  Rahsoft is an Irvine, California based company, working in the field of video product
development and providing e-learning platform to the students around the globe.Rahsoft has the best

          team having expertise in the different fields of technology. RAHSOFT RADIO FREQUENCY  R
...
see more

 ... see more","1mo • 

 1mo •",70,4 comments,"1mo • 

 1mo •",21,
2506,https://linkedin.com/company/dare-devops,Dare DevOps,Learn Practical DevOps Engineering,23 followers,1 employee,"          We teach Practical DevOps!
 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
254,https://linkedin.com/company/painless-financial-training-group-inc-,Painless Financial Training Group Inc.,"Understand Financial Stuff, Painlessly.",49 followers,2 employees,"We provide easy to understand financial information.   We assist business owners, managers and

          everyone in-between in their quest for financial prosperity.
 ... see more","10mo • 

 10mo •",,,"2mo • 

 2mo •",2,1 comment
2395,https://linkedin.com/company/sdetunicorns,SDET Unicorns,"Empowering SDETs for Success: Master In-Demand Skills, Stay Current & Thrive in the Tech World!",532 followers,1 employee,"At SDET-U Academy, our goal is to help students become successful SDET by teaching them the
important skills they need in today's fast-paced tech world. We offer easy-to-understand, practical

          training that covers all areas of software testing, including web and mobile apps, and both fr
...
see more

 ... see more","3mo • 

 3mo •",1,2 comments,"1h • 

 1h •",,
1450,https://linkedin.com/company/blockchaininstituteoftechnology,Blockchain Institute of Technology,Gain the Knowledge. Set Your Path. Change the World.,"3,166 followers",6 employees,"Blockchain Institute of Technology (BIT) is the world standard for blockchain education and
certification.™  We partner with companies and individuals to address their unique needs, providing

          training and certification options that help professionals reach their goals.  BIT’s Blockchain 
...
see more

 ... see more","3h • 

 3h •",,,"1d • 

 1d •",1,
1704,https://linkedin.com/company/three-millennials,Three Millennials,"At Three Millennials, We share a belief that Sharing Knowledge is the best way to Increase Knowledge.",24 followers,3 employees,,N/A,N/A,N/A,N/A,N/A,N/A
861,https://linkedin.com/company/artistworks-inc-,ArtistWorks.com,Learn From Master Musicians,950 followers,17 employees,"Founded in 2008 by former AOL executive David Butler and former financial executive Patricia Butler,
ArtistWorks, Inc. is the leader in a new generation of online learning platforms. Their revolutionary global

          learning community of world-renowned teaching artists and enthusiastic amateurs is dedica
...
see more

 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
1509,https://linkedin.com/company/ai-sciences/about/?viewAsMember=true,AI Sciences,"Follow for daily #AI related posts!

Visit #AISciences website for #AI #datascience and #machinelearning courses!","1,885 followers",4 employees,,N/A,N/A,N/A,N/A,N/A,N/A
971,https://linkedin.com/company/simplacademy,SIMPL Academy,Learn the SIMPL way,11 followers,,"          We strive to make learning and education simple.
 ... see more","1mo • 

 1mo •",,,"7mo • 

 7mo •",,
1366,https://linkedin.com/company/codewarriors,Code Warriors,"The best place to learn, code and conquer - Once you have it you love it.","17,898 followers",14 employees,"With a mission to improve lives through learning🧑🏻‍🎓, connecting people and ideas🧠, and to create
skilled software engineers for our country and the world🧑🏻‍💻, *Code Warriors* aims to connect learners

          from all over the globe🌏 with high-quality educators.  We believe learning should be an enj
...
see more

 ... see more","1yr • 

 1yr •",14,6 comments,"1yr • Edited • 

 1yr • Edited •",17,4 comments
1439,https://linkedin.com/company/edyoda/,EdYoda (zekeLabs Technologies Pvt. Ltd.),"Career platform with Unlimited live Learning, Unlimited courses & Unlimited jobs. 

Most effective & affordable","26,364 followers",134 employees,"The best career platform - Unlimited Live Learning, Courses & Jobs  EdYoda is re-imagining education
by educating on job-relevant skills, and connecting EdYoda graduates to job opportunities through

          employer partnerships.  With a user base of over 1M+ learning across the platform and empl
...
see more

 ... see more","3h • 

 3h •",,,"10h • 

 10h •",8,
403,https://linkedin.com/company/sonar-systems?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A9198245%2Cidx%3A2-5-12%2CtarId%3A1450710834,Sonar Systems,,131 followers,3 employees,,N/A,N/A,N/A,N/A,N/A,N/A
355,https://linkedin.com/http://www.linkedin.com/company/mindmekka,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,https://linkedin.com//company/simon-sez-it,Simon Sez IT,Software training made simple,671 followers,11 employees,"Simon Sez IT makes business and technical software simple to learn. Our most important goal is to help
learners build and strengthen their software skills. We focus on simplicity but explain things in the detail

          they deserve.   Simon Sez IT subject matter experts bring passion, knowledge, and practical 
...
see more

 ... see more","3h • 

 3h •",,,"2w • 

 2w •",,
45,https://linkedin.com/company/stone-river-elearning,Stone River eLearning,Catalog of 700+ online training courses.,"1,621 followers",6 employees,,N/A,N/A,N/A,N/A,N/A,N/A
897,https://linkedin.com/company/22299481/,Sundog Education,"Making highly valuable career skills in big data, data science, and machine learning accessible to everyone worldwide.","5,141 followers",2 employees,"Sundog Education offers online courses in big data, data science, machine learning, and artificial
intelligence to over 100,000 students. Our mission is to bring highly valuable technical skills to students

          at prices anyone in the world can afford.
 ... see more","6mo • 

 6mo •",5,,"23h • 

 23h •",,
142,https://linkedin.com/company/youaccel/,YouAccel,Mission: To facilitate a comprehensive learning environment for students and connect skilled job seekers with employers.,"1,158 followers",2 employees,,N/A,N/A,N/A,N/A,N/A,N/A
